sample_id,gender,type,tissue_old,age,tissue,ACE2,ESR1,ACE1,ESR2,AR,PGR,TMPRSS2
TARGET.20.PAPWIU.09,female,cancer,NA,0-19,blood,-1.45E-08,-1.45E-08,0.038799552,-1.45E-08,0.051260577,-1.45E-08,-1.45E-08
TARGET.20.PAPWYK.09,female,cancer,NA,20-59,blood,-1.77E-08,-1.77E-08,1.390797544,0.047263626,0.223075417,-1.77E-08,-1.77E-08
TARGET.20.PAPXRJ.04,female,cancer,NA,0-19,blood,0.063401057,0.032358023,0.57974314,0.121886362,0.016349623,-1.80E-08,0.032358023
TARGET.20.PAPXRJ.09,female,cancer,NA,0-19,blood,-2.22E-08,0.131763606,1.239627499,0.214352129,0.020147926,-2.22E-08,0.039824378
TARGET.20.PAPXWI.09,female,cancer,NA,0-19,blood,-1.70E-08,-1.70E-08,1.784265482,-1.70E-08,1.129902843,-1.70E-08,-1.70E-08
TARGET.20.PARAJX.09,male,cancer,NA,0-19,blood,0.040770296,-1.52E-08,1.20458177,0.027440211,0.943214864,-1.52E-08,-1.52E-08
TARGET.20.PARANT.09,male,cancer,NA,0-19,blood,0.040166916,0.065710846,1.315143764,0.148279644,1.07792622,-1.50E-08,-1.50E-08
TARGET.20.PARASV.03,male,cancer,NA,0-19,blood,-1.74E-08,0.157870342,1.702515421,0.061377378,0.046496469,-1.74E-08,-1.74E-08
TARGET.20.PARBFJ.09,male,cancer,NA,0-19,blood,-2.06E-08,0.122690953,1.705958788,0.03700048,0.072386956,-2.06E-08,-2.06E-08
TARGET.20.PARBIU.04,female,cancer,NA,0-19,blood,-2.07E-08,0.037085533,0.640818729,0.037085533,0.037085533,-2.07E-08,-2.07E-08
TARGET.20.PARBIU.09,female,cancer,NA,0-19,blood,0.059929237,0.133679627,1.011469638,0.184929632,-2.26E-08,-2.26E-08,-2.26E-08
TARGET.20.PARBRA.09,female,cancer,NA,0-19,blood,-1.70E-08,0.03066468,0.260384773,0.141951524,0.045536625,-1.70E-08,0.074408393
TARGET.20.PARCCH.03,male,cancer,NA,0-19,blood,2.599671586,-2.40E-08,1.881389183,0.083839021,0.309783917,-2.40E-08,-2.40E-08
TARGET.20.PARCUK.09,female,cancer,NA,0-19,blood,-1.46E-08,-1.46E-08,0.398693729,0.063778941,0.122073216,-1.46E-08,-1.46E-08
